Port_0_0_1 Port_0_0_2 Port_0_0_3 Port_0_0_4 Port_0_0_0
off 1.9 0.6 0.3 off
0.7 0.2 0.7 1.5 off
0.9 0.9 1.7 1.5 off
1.5 0.6 0.4 1.7 off
1.1 0.6 1.2 1.3 off
0.9 1.0 0.6 1.4 off
1.0 0.9 0.9 1.7 off
1.4 1.0 0.1 0.8 off
1.5 1.3 1.7 0.4 off
1.2 1.1 0.9 0.8 off
0.1 1.7 1.4 0.4 off
0.1 1.3 1.6 1.4 off
1.1 0.3 1.4 1.6 off
0.7 1.6 1.8 1.2 off
0.7 off off 0.6 off
1.9 1.2 0.5 1.5 off
0.6 0.7 1.9 off off
1.7 0.3 1.2 1.7 off
1.1 1.2 0.4 0.3 off
0.9 1.1 0.7 1.6 off
off 1.2 0.7 0.2 off
0.2 1.6 1.5 1.4 off
0.7 1.8 0.1 0.4 off
1.0 0.6 1.0 off off
0.6 1.8 0.8 1.0 off
