Port_0_0_1 Port_0_0_2 Port_0_0_3 Port_0_0_4 Port_0_0_5 Port_0_0_6 Port_0_0_7 Port_0_0_8 Port_0_0_9 Port_0_0_0
0.3 0.8 0.2 0.5 0.4 0.5 0.3 0.7 0.5 off
0.4 0.8 0.2 0.7 0.9 0.9 off 0.4 0.6 off
0.4 0.8 0.8 0.4 0.6 0.9 0.9 off 0.5 off
0.4 0.2 off 0.8 off 0.9 0.6 0.6 0.4 off
0.1 0.5 0.4 off 0.7 0.8 0.4 off off off
0.4 0.5 0.3 off 0.4 off 0.2 0.5 0.8 off
0.9 0.7 0.4 0.2 off 0.3 0.3 0.2 0.9 off
0.2 0.7 0.1 0.9 0.7 off 0.3 0.4 off off
0.2 0.6 0.1 0.6 0.2 0.2 0.8 0.2 0.2 off
0.8 0.6 off 0.9 off 0.4 0.9 0.6 0.1 off
